Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",1/17,0.0025479169262706,0.009363613663633,0,0,624.40625,3729.2533063250903,COX4I2
GO_Biological_Process_2021,energy derivation by oxidation of organic compounds (GO:0015980),1/25,0.0037454454654532,0.009363613663633,0,0,416.1041666666667,2324.8633249285726,COX4I2
GO_Biological_Process_2021,cellular respiration (GO:0045333),1/42,0.0062870152415198,0.0104783587358663,0,0,243.3658536585366,1233.6869399593022,COX4I2
GO_Biological_Process_2021,aerobic electron transport chain (GO:0019646),1/70,0.0104637089013925,0.0106126597969386,0,0,144.40579710144928,658.467662524263,COX4I2
GO_Biological_Process_2021,mitochondrial ATP synthesis coupled electron transport (GO:0042775),1/71,0.0106126597969386,0.0106126597969386,0,0,142.3357142857143,647.0165481479889,COX4I2
KEGG_2021_Human,Oxidative phosphorylation,3/133,2.874915251023206e-07,3.449898301227847e-06,0,0,59601.0,897714.5803933432,COX4I2;ATP6;ND1
KEGG_2021_Human,Diabetic cardiomyopathy,3/203,1.0303369366521108e-06,5.720163943712183e-06,0,0,59391.0,818742.0357412262,COX4I2;ATP6;ND1
KEGG_2021_Human,Thermogenesis,3/232,1.5408695381371289e-06,5.720163943712183e-06,0,0,59304.0,793675.1380325234,COX4I2;ATP6;ND1
KEGG_2021_Human,Parkinson disease,3/249,1.9067213145707275e-06,5.720163943712183e-06,0,0,59253.0,780369.4391508141,COX4I2;ATP6;ND1
KEGG_2021_Human,Prion disease,3/273,2.515599952716368e-06,6.037439886519283e-06,0,0,59181.0,763020.5876125067,COX4I2;ATP6;ND1
KEGG_2021_Human,Huntington disease,3/306,3.5468056810321265e-06,7.093611362064253e-06,0,0,59082.0,741447.3828744818,COX4I2;ATP6;ND1
KEGG_2021_Human,Amyotrophic lateral sclerosis,3/364,5.979457498857607e-06,9.34494858723435e-06,0,0,58908.0,708497.1614632916,COX4I2;ATP6;ND1
KEGG_2021_Human,Alzheimer disease,3/369,6.2299657248228995e-06,9.34494858723435e-06,0,0,58893.0,705899.7269312339,COX4I2;ATP6;ND1
KEGG_2021_Human,Pathways of neurodegeneration,3/475,1.3313190630964986e-05,1.7750920841286646e-05,0,0,58575.0,657607.1880340977,COX4I2;ATP6;ND1
KEGG_2021_Human,Cardiac muscle contraction,1/87,0.0129938425283724,0.0155926110340469,0,0,115.76162790697674,502.7851268363536,COX4I2
KEGG_2021_Human,Retrograde endocannabinoid signaling,1/148,0.0220370606188443,0.0230712605438279,0,0,67.51700680272108,257.57938413758654,ND1
KEGG_2021_Human,Non-alcoholic fatty liver disease,1/155,0.0230712605438279,0.0230712605438279,0,0,64.42532467532467,242.82984434544923,COX4I2
GO_Molecular_Function_2021,cytochrome-c oxidase activity (GO:0004129),1/15,0.002248385285759,0.0083826869886931,0,0,713.6785714285714,4351.685756891909,COX4I2
GO_Molecular_Function_2021,proton transmembrane transporter activity (GO:0015078),1/40,0.0059882314019791,0.0083826869886931,0,0,255.8717948717949,1309.541398623503,COX4I2
GO_Molecular_Function_2021,active ion transmembrane transporter activity (GO:0022853),1/42,0.0062870152415198,0.0083826869886931,0,0,243.3658536585366,1233.6869399593022,COX4I2
GO_Molecular_Function_2021,oxidoreduction-driven active transmembrane transporter activity (GO:0015453),1/58,0.0086751325027492,0.0086751325027492,0,0,174.91228070175438,830.360139497581,COX4I2
GO_Cellular_Component_2021,mitochondrial respiratory chain complex IV (GO:0005751),1/10,0.0014992947695318,0.0014992947695318,0,0,1110.4444444444443,7220.954198683598,COX4I2
Panther_2016,ATP synthesis Homo sapiens P02721,1/5,0.0007498314718703743,0.0007498314718703743,0,0,2499.125,17982.858997820545,ATP6
